Title,Review,Rating,Verified,Date,Image_URL,Review_Length,Review_Length_Category,Sentiment,Helpful_Votes,Product,,,,
Excellent design,Amazing features for this price,3,No,29-Sep-25,https://dummyimage.com/150x150/000/fff&text=Img1,31,Short,Neutral,54,Echo Dot (4th Gen),,,,
Value for money,The product stopped working in a week,3.8,No,3-Sep-25,https://dummyimage.com/150x150/000/fff&text=Img2,37,Short,Neutral,71,Echo Dot (4th Gen),,,,
Very satisfied,Battery drains quickly,2.3,No,20-May-25,https://dummyimage.com/150x150/000/fff&text=Img3,22,Short,Negative,96,Echo Dot (4th Gen),,,,
Value for money,Best speaker in this price range,5,Yes,5-Aug-25,https://dummyimage.com/150x150/000/fff&text=Img4,32,Short,Positive,22,Echo Dot (4th Gen),,,,
Great product!,Best speaker in this price range,4.6,No,8-Apr-25,https://dummyimage.com/150x150/000/fff&text=Img5,32,Short,Positive,49,Echo Dot (4th Gen),,,,
Value for money,Looks amazing and works perfectly,4.8,No,16-Sep-25,https://dummyimage.com/150x150/000/fff&text=Img6,33,Short,Positive,57,Echo Dot (4th Gen),,,,
Value for money,Best speaker in this price range,1.8,Yes,19-Sep-25,https://dummyimage.com/150x150/000/fff&text=Img7,32,Short,Negative,6,Echo Dot (4th Gen),,,,
Poor battery,Battery drains quickly,1.2,No,12-Jul-25,https://dummyimage.com/150x150/000/fff&text=Img8,22,Short,Negative,21,Echo Dot (4th Gen),,,,
Not as expected,Good device for daily use,2.8,No,21-Jul-25,https://dummyimage.com/150x150/000/fff&text=Img9,25,Short,Neutral,45,Echo Dot (4th Gen),,,,
Not as expected,The product stopped working in a week,2.5,Yes,12-Feb-25,https://dummyimage.com/150x150/000/fff&text=Img10,37,Short,Neutral,68,Echo Dot (4th Gen),,,,
Very satisfied,Amazing features for this price,4.2,No,8-Jul-25,https://dummyimage.com/150x150/000/fff&text=Img11,31,Short,Positive,79,Echo Dot (4th Gen),,,,
Very satisfied,Best speaker in this price range,4.4,No,14-May-25,https://dummyimage.com/150x150/000/fff&text=Img12,32,Short,Positive,4,Echo Dot (4th Gen),,,,
Packaging could be better,The product stopped working in a week,2.3,Yes,21-Nov-25,https://dummyimage.com/150x150/000/fff&text=Img13,37,Short,Negative,53,Echo Dot (4th Gen),,,,
Poor battery,Good device for daily use,2.7,Yes,3-Apr-25,https://dummyimage.com/150x150/000/fff&text=Img14,25,Short,Neutral,55,Echo Dot (4th Gen),,,,
Great product!,Battery drains quickly,2.3,No,29-Jan-25,https://dummyimage.com/150x150/000/fff&text=Img15,22,Short,Negative,8,Echo Dot (4th Gen),,,,
Poor battery,"I love the sound quality, highly recommend",2.1,Yes,12-Feb-25,https://dummyimage.com/150x150/000/fff&text=Img16,42,Short,Negative,70,Echo Dot (4th Gen),,,,
Value for money,"I love the sound quality, highly recommend",4.8,Yes,23-May-25,https://dummyimage.com/150x150/000/fff&text=Img17,42,Short,Positive,75,Echo Dot (4th Gen),,,,
Sound quality amazing,Good device for daily use,1.8,No,27-Sep-25,https://dummyimage.com/150x150/000/fff&text=Img18,25,Short,Negative,14,Echo Dot (4th Gen),,,,
Excellent design,Battery drains quickly,2,No,19-Jul-25,https://dummyimage.com/150x150/000/fff&text=Img19,22,Short,Negative,78,Echo Dot (4th Gen),,,,
Not as expected,Looks amazing and works perfectly,4.2,No,23-Jul-25,https://dummyimage.com/150x150/000/fff&text=Img20,33,Short,Positive,61,Echo Dot (4th Gen),,,,
